source_soc,source_name,target_soc,target_name,similarity,source_ai_exposure,target_ai_exposure,delta_exposure,n_missing,n_shared,missing_skills,shared_skills
11-1011.00,Chief Executives,11-9071.00,Gambling Managers,0.8073543906211853,0.33,0.32,0.010000000000000009,10,2,strategic thinking|operational integrity|resource monitoring|performance management|conflict resolution|marketing strategies|customer education|personnel management|operations monitoring|equipment maintenance,financial analysis|time management
11-1011.00,Chief Executives,33-1012.00,First-Line Supervisors of Police and Detectives,0.8046239614486694,0.33,0.23,0.1,7,4,police procedures|evidence handling|community engagement|personnel management|research methods|critical thinking|equipment maintenance,communication|problem solving|team management|time management
11-1011.00,Chief Executives,11-9179.02,Spa Managers,0.7404440641403198,0.33,0.251,0.07900000000000001,9,3,accounting|client record management|sales techniques|marketing strategies|staff supervision|customer service|inventory management|operations monitoring|equipment maintenance,budgeting|financial analysis|time management
11-1011.00,Chief Executives,39-9032.00,Recreation Workers,0.7386804819107056,0.33,0.21,0.12000000000000002,8,2,participation encouragement|customer education|facility maintenance|program development|event planning|inventory management|financial management|equipment maintenance,risk management|team management
11-1011.00,Chief Executives,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,0.7217391729354858,0.33,0.285,0.04500000000000004,9,3,material estimation|collaboration skills|blueprint reading|personnel management|training and development|project management|financial management|record keeping|equipment maintenance,problem solving|team management|time management
11-1011.00,Chief Executives,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.6987510919570923,0.33,0.1854545454545454,0.14454545454545462,6,2,employee counseling|conflict resolution|scheduling|customer service|troubleshooting|equipment maintenance,team management|time management
11-1011.00,Chief Executives,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.6927505731582642,0.33,0.14,0.19,5,4,scheduling|conflict resolution|training and development|operations monitoring|equipment maintenance,communication|problem solving|team management|time management
11-1011.00,Chief Executives,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,0.6915655136108398,0.33,0.24,0.09000000000000002,9,3,crew management|fire extinguishing techniques|personnel management|training and development|emergency response|research methods|financial management|operations monitoring|equipment maintenance,communication|risk management|time management
11-1011.00,Chief Executives,51-1011.00,First-Line Supervisors of Production and Operating Workers,0.6842968463897705,0.33,0.3,0.030000000000000027,9,0,labor requirements|product development|attendance management|production planning|staff supervision|material handling|record keeping|operations monitoring|equipment maintenance,
11-1011.00,Chief Executives,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.6798625588417053,0.33,0.155,0.17500000000000002,7,3,groundskeeping operations|landscaping techniques|installation|project management|financial management|troubleshooting|equipment maintenance,budgeting|communication|time management
