O*NET-SOC Code,Occupation,soc2019_code,soc2010_code,soc2010_6,isco08_code,isco08_title,4-digit code,Exposure,Mean
11-1011.00,Chief Executives,11-1011.00,11-1011.00,11-1011,1112,Senior government officials,1112,Minimal Exposure,0.38
11-1011.00,Chief Executives,11-1011.00,11-1011.00,11-1011,1113,Traditional chiefs and heads of villages,1113,Not Exposed,0.23
11-1011.00,Chief Executives,11-1011.00,11-1011.00,11-1011,1120,Managing directors and chief executives,1120,Minimal Exposure,0.38
11-1011.03,Chief Sustainability Officers,11-1011.03,11-1011.03,11-1011,1112,Senior government officials,1112,Minimal Exposure,0.38
11-1011.03,Chief Sustainability Officers,11-1011.03,11-1011.03,11-1011,1113,Traditional chiefs and heads of villages,1113,Not Exposed,0.23
11-1011.03,Chief Sustainability Officers,11-1011.03,11-1011.03,11-1011,1120,Managing directors and chief executives,1120,Minimal Exposure,0.38
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1112,Senior government officials,1112,Minimal Exposure,0.38
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1120,Managing directors and chief executives,1120,Minimal Exposure,0.38
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1343,Aged care services managers,1343,Minimal Exposure,0.34
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1346,Financial and insurance services branch managers,1346,Gradient 2,0.47
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1420,Retail and wholesale trade managers,1420,Gradient 2,0.44
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,5221,Shopkeepers,5221,Gradient 2,0.43
11-1031.00,Legislators,11-1031.00,11-1031.00,11-1031,1111,Legislators,1111,Not Exposed,0.31
11-1031.00,Legislators,11-1031.00,11-1031.00,11-1031,1113,Traditional chiefs and heads of villages,1113,Not Exposed,0.23
11-2011.00,Advertising and Promotions Managers,11-2011.00,11-2011.00,11-2011,1222,Advertising and public relations managers,1222,Minimal Exposure,0.39
11-2011.00,Advertising and Promotions Managers,11-2011.00,11-2011.01,11-2011,1222,Advertising and public relations managers,1222,Minimal Exposure,0.39
11-2021.00,Marketing Managers,11-2021.00,11-2021.00,11-2021,1221,Sales and marketing managers,1221,Gradient 2,0.41
11-2022.00,Sales Managers,11-2022.00,11-2022.00,11-2022,1221,Sales and marketing managers,1221,Gradient 2,0.41
11-2032.00,Public Relations Managers,11-2032.00,11-2031.00,11-2031,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-2032.00,Public Relations Managers,11-2032.00,11-2031.00,11-2031,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-2032.00,Public Relations Managers,11-2032.00,11-2031.00,11-2031,1222,Advertising and public relations managers,1222,Minimal Exposure,0.39
11-2033.00,Fundraising Managers,11-2033.00,11-2031.00,11-2031,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-2033.00,Fundraising Managers,11-2033.00,11-2031.00,11-2031,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-2033.00,Fundraising Managers,11-2033.00,11-2031.00,11-2031,1222,Advertising and public relations managers,1222,Minimal Exposure,0.39
11-3012.00,Administrative Services Managers,11-3012.00,11-3011.00,11-3011,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-3013.00,Facilities Managers,11-3013.00,11-3011.00,11-3011,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1439,Services managers not elsewhere classified,,,
11-3021.00,Computer and Information Systems Managers,11-3021.00,11-3021.00,11-3021,1330,Information and communications technology service managers,1330,Gradient 2,0.44
11-3031.00,Financial Managers,11-3031.00,11-3031.00,11-3031,1211,Finance managers,1211,Minimal Exposure,0.37
11-3031.00,Financial Managers,11-3031.00,11-3031.00,11-3031,1346,Financial and insurance services branch managers,1346,Gradient 2,0.47
11-3031.00,Financial Managers,11-3031.00,11-3031.02,11-3031,1211,Finance managers,1211,Minimal Exposure,0.37
11-3031.00,Financial Managers,11-3031.00,11-3031.02,11-3031,1346,Financial and insurance services branch managers,1346,Gradient 2,0.47
11-3031.01,Treasurers and Controllers,11-3031.01,11-3031.01,11-3031,1211,Finance managers,1211,Minimal Exposure,0.37
11-3031.01,Treasurers and Controllers,11-3031.01,11-3031.01,11-3031,1346,Financial and insurance services branch managers,1346,Gradient 2,0.47
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1439,Services managers not elsewhere classified,,,
11-3051.00,Industrial Production Managers,11-3051.00,11-3051.00,11-3051,1321,Manufacturing managers,1321,Minimal Exposure,0.38
11-3051.00,Industrial Production Managers,11-3051.00,11-3051.05,11-3051,1321,Manufacturing managers,1321,Minimal Exposure,0.38
11-3051.01,Quality Control Systems Managers,11-3051.01,11-3051.01,11-3051,1321,Manufacturing managers,1321,Minimal Exposure,0.38
11-3051.02,Geothermal Production Managers,11-3051.02,11-3051.02,11-3051,1321,Manufacturing managers,1321,Minimal Exposure,0.38
11-3051.03,Biofuels Production Managers,11-3051.03,11-3051.03,11-3051,1321,Manufacturing managers,1321,Minimal Exposure,0.38
11-3051.04,Biomass Power Plant Managers,11-3051.04,11-3051.04,11-3051,1321,Manufacturing managers,1321,Minimal Exposure,0.38
11-3051.06,Hydroelectric Production Managers,11-3051.06,11-3051.06,11-3051,1321,Manufacturing managers,1321,Minimal Exposure,0.38
11-3061.00,Purchasing Managers,11-3061.00,11-3061.00,11-3061,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,11-3071.00,11-3071,1324,"Supply, distribution and related managers",1324,Minimal Exposure,0.38
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,11-3071.01,11-3071,1324,"Supply, distribution and related managers",1324,Minimal Exposure,0.38
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,11-3071.02,11-3071,1324,"Supply, distribution and related managers",1324,Minimal Exposure,0.38
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,11-3071.03,11-3071,1324,"Supply, distribution and related managers",1324,Minimal Exposure,0.38
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1114,Senior officials of special-interest organizations,1114,Minimal Exposure,0.37
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1213,Policy and planning managers,1213,Not Exposed,0.36
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1219,Business services and administration managers not elsewhere classified,1219,Gradient 2,0.42
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1322,Mining managers,1322,Minimal Exposure,0.35
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1349,Professional services managers not elsewhere classified,1349,Minimal Exposure,0.38
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1431,"Sports, recreation and cultural centre managers",1431,Minimal Exposure,0.32
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1439,Services managers not elsewhere classified,,,
11-3111.00,Compensation and Benefits Managers,11-3111.00,11-3111.00,11-3111,1212,Human resource managers,1212,Minimal Exposure,0.36
11-3121.00,Human Resources Managers,11-3121.00,11-3121.00,11-3121,1212,Human resource managers,1212,Minimal Exposure,0.36
11-3131.00,Training and Development Managers,11-3131.00,11-3131.00,11-3131,1212,Human resource managers,1212,Minimal Exposure,0.36
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.00,11-9013,1311,Agricultural and forestry production managers,1311,Minimal Exposure,0.27
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.00,11-9013,1312,Aquaculture and fisheries production managers,1312,Not Exposed,0.22
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.01,11-9013,1311,Agricultural and forestry production managers,1311,Minimal Exposure,0.27
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.01,11-9013,1312,Aquaculture and fisheries production managers,1312,Not Exposed,0.22
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.02,11-9013,1311,Agricultural and forestry production managers,1311,Minimal Exposure,0.27
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.02,11-9013,1312,Aquaculture and fisheries production managers,1312,Not Exposed,0.22
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,11-9013.03,11-9013,1311,Agricultural and forestry production managers,1311,Minimal Exposure,0.27
