O*NET-SOC Code,Occupation,soc2019_code,soc2010_code,soc2010_6,isco08_code,isco08_title
11-1011.00,Chief Executives,11-1011.00,11-1011.00,11-1011,1112.0,Senior government officials
11-1011.00,Chief Executives,11-1011.00,11-1011.00,11-1011,1113.0,Traditional chiefs and heads of villages
11-1011.00,Chief Executives,11-1011.00,11-1011.00,11-1011,1120.0,Managing directors and chief executives
11-1011.03,Chief Sustainability Officers,11-1011.03,11-1011.03,11-1011,1112.0,Senior government officials
11-1011.03,Chief Sustainability Officers,11-1011.03,11-1011.03,11-1011,1113.0,Traditional chiefs and heads of villages
11-1011.03,Chief Sustainability Officers,11-1011.03,11-1011.03,11-1011,1120.0,Managing directors and chief executives
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1112.0,Senior government officials
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1114.0,Senior officials of special-interest organizations
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1120.0,Managing directors and chief executives
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1343.0,Aged care services managers
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1346.0,Financial and insurance services branch managers
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,1420.0,Retail and wholesale trade managers
11-1021.00,General and Operations Managers,11-1021.00,11-1021.00,11-1021,5221.0,Shopkeepers
11-1031.00,Legislators,11-1031.00,11-1031.00,11-1031,1111.0,Legislators
11-1031.00,Legislators,11-1031.00,11-1031.00,11-1031,1113.0,Traditional chiefs and heads of villages
11-2011.00,Advertising and Promotions Managers,11-2011.00,11-2011.00,11-2011,1222.0,Advertising and public relations managers
11-2011.00,Advertising and Promotions Managers,11-2011.00,11-2011.01,11-2011,1222.0,Advertising and public relations managers
11-2021.00,Marketing Managers,11-2021.00,11-2021.00,11-2021,1221.0,Sales and marketing managers
11-2022.00,Sales Managers,11-2022.00,11-2022.00,11-2022,1221.0,Sales and marketing managers
11-2032.00,Public Relations Managers,11-2032.00,11-2031.00,11-2031,1114.0,Senior officials of special-interest organizations
11-2032.00,Public Relations Managers,11-2032.00,11-2031.00,11-2031,1219.0,Business services and administration managers not elsewhere classified
11-2032.00,Public Relations Managers,11-2032.00,11-2031.00,11-2031,1222.0,Advertising and public relations managers
11-2033.00,Fundraising Managers,11-2033.00,11-2031.00,11-2031,1114.0,Senior officials of special-interest organizations
11-2033.00,Fundraising Managers,11-2033.00,11-2031.00,11-2031,1219.0,Business services and administration managers not elsewhere classified
11-2033.00,Fundraising Managers,11-2033.00,11-2031.00,11-2031,1222.0,Advertising and public relations managers
11-3012.00,Administrative Services Managers,11-3012.00,11-3011.00,11-3011,1219.0,Business services and administration managers not elsewhere classified
11-3013.00,Facilities Managers,11-3013.00,11-3011.00,11-3011,1219.0,Business services and administration managers not elsewhere classified
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1114.0,Senior officials of special-interest organizations
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1213.0,Policy and planning managers
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1322.0,Mining managers
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1349.0,Professional services managers not elsewhere classified
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-3013.01,Security Managers,11-3013.01,11-9199.07,11-9199,1439.0,Services managers not elsewhere classified
11-3021.00,Computer and Information Systems Managers,11-3021.00,11-3021.00,11-3021,1330.0,Information and communications technology service managers
11-3031.00,Financial Managers,11-3031.00,11-3031.00,11-3031,1211.0,Finance managers
11-3031.00,Financial Managers,11-3031.00,11-3031.00,11-3031,1346.0,Financial and insurance services branch managers
11-3031.00,Financial Managers,11-3031.00,11-3031.02,11-3031,1211.0,Finance managers
11-3031.00,Financial Managers,11-3031.00,11-3031.02,11-3031,1346.0,Financial and insurance services branch managers
11-3031.01,Treasurers and Controllers,11-3031.01,11-3031.01,11-3031,1211.0,Finance managers
11-3031.01,Treasurers and Controllers,11-3031.01,11-3031.01,11-3031,1346.0,Financial and insurance services branch managers
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1114.0,Senior officials of special-interest organizations
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1213.0,Policy and planning managers
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1322.0,Mining managers
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1349.0,Professional services managers not elsewhere classified
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1431.0,"Sports, recreation and cultural centre managers"
11-3031.03,Investment Fund Managers,11-3031.03,11-9199.03,11-9199,1439.0,Services managers not elsewhere classified
11-3051.00,Industrial Production Managers,11-3051.00,11-3051.00,11-3051,1321.0,Manufacturing managers
11-3051.00,Industrial Production Managers,11-3051.00,11-3051.05,11-3051,1321.0,Manufacturing managers
11-3051.01,Quality Control Systems Managers,11-3051.01,11-3051.01,11-3051,1321.0,Manufacturing managers
11-3051.02,Geothermal Production Managers,11-3051.02,11-3051.02,11-3051,1321.0,Manufacturing managers
11-3051.03,Biofuels Production Managers,11-3051.03,11-3051.03,11-3051,1321.0,Manufacturing managers
11-3051.04,Biomass Power Plant Managers,11-3051.04,11-3051.04,11-3051,1321.0,Manufacturing managers
11-3051.06,Hydroelectric Production Managers,11-3051.06,11-3051.06,11-3051,1321.0,Manufacturing managers
11-3061.00,Purchasing Managers,11-3061.00,11-3061.00,11-3061,1219.0,Business services and administration managers not elsewhere classified
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,11-3071.00,11-3071,1324.0,"Supply, distribution and related managers"
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,11-3071.01,11-3071,1324.0,"Supply, distribution and related managers"
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,11-3071.02,11-3071,1324.0,"Supply, distribution and related managers"
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,11-3071.03,11-3071,1324.0,"Supply, distribution and related managers"
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1114.0,Senior officials of special-interest organizations
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1213.0,Policy and planning managers
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1219.0,Business services and administration managers not elsewhere classified
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1322.0,Mining managers
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1349.0,Professional services managers not elsewhere classified
11-3071.04,Supply Chain Managers,11-3071.04,11-9199.04,11-9199,1431.0,"Sports, recreation and cultural centre managers"
