skill,count
time management,1639
problem solving,1563
operations monitoring,1366
communication,1259
material handling,1102
troubleshooting,1095
equipment maintenance,1036
record keeping,959
inventory management,903
critical thinking,807
installation,708
judgment and decision making,676
complex problem solving,624
financial management,602
team management,569
laboratory techniques,529
customer service,523
technical documentation,491
precision measurement,484
budgeting,467
systems analysis,458
project management,452
personnel management,425
emergency response,392
active learning,387
staff supervision,375
financial analysis,365
data analysis,359
supply chain management,357
customer education,356
training and development,333
risk management,323
conflict resolution,302
surface preparation,300
hand tool operation,296
scheduling,291
attention to detail,290
blueprint reading,253
medication administration,248
lesson planning,240
adaptability,238
data recording,235
negotiation,229
mathematics,228
equipment calibration,225
report writing,224
learning strategies,223
sales techniques,219
research methods,210
lubrication techniques,209
cost estimation,204
counseling techniques,203
organization,200
vital sign monitoring,198
transportation management,197
mathematical calculations,194
customer communication,193
marketing strategies,191
patient care techniques,189
operation and control,186
surface finishing,185
teaching techniques,183
logistics management,175
food preparation,171
professional development,168
cash handling,168
classroom management,167
programming,165
patient monitoring,164
welding techniques,164
data entry,162
clerical duties,155
facility maintenance,155
emotional intelligence,150
site preparation,149
drilling techniques,147
patient education,144
child development,141
reassembly techniques,140
patient communication,139
material preparation,139
client record management,139
material transfer,139
event planning,139
progress monitoring,137
scaffolding setup,131
temperature control,131
physical labor,130
comprehensive care planning,128
treatment planning,128
curriculum development,127
circuit analysis,126
health education,126
machine setup and operation,124
student counseling,124
program evaluation,119
mechanical design,119
parent communication,119
first aid techniques,118
waste management,118
service orientation,118
technical drawing,118
policy development,116
physical stamina,115
instructing,114
incident reporting,113
pipe installation,110
fastening techniques,110
fastening and packaging,110
industrial truck operation,110
social perceptiveness,109
mathematical reasoning,108
program development,108
lifting and moving,107
vehicle operation,107
exercise instruction,106
assembly techniques,105
pressure control,104
equipment testing,103
technical manual interpretation,102
equipment disassembly,101
market research,101
animal care,100
security protocols,99
debris removal,99
product knowledge,98
cleaning and organization,98
case management,97
route navigation,96
cable management,96
disease prevention,95
patient transportation,95
metal shaping techniques,95
accounting,95
persuasion,93
layout planning,93
recreational activity planning,93
water management,92
workpiece inspection,91
measurement skills,90
frame repair,89
damage assessment,88
exterior panel replacement,88
repair planning,88
work procedure planning,88
gas line repair,88
plumbing system installation,88
material removal,87
workpiece positioning,86
emotional support,86
chemical analysis,86
process control,85
active listening,84
food safety,84
protective covering application,83
decision making,83
critical care,81
adhesive application,81
measurement and layout,80
route planning,79
instructional design,79
dressing assistance,79
patient care,79
basic life support,78
medical supply management,78
financial record keeping,77
reading comprehension,77
grout application,77
payment processing,75
log maintenance,75
police procedures,74
surface repair,74
performance management,74
structural analysis,73
equipment troubleshooting,73
individualized education planning,72
geological material handling,72
order fulfillment,72
student record keeping,71
installation support,71
troubleshooting skills,71
mechanism replacement,70
resource monitoring,70
functional testing,70
proper alignment,70
mechanism adjustment,70
problem identification,70
polishing techniques,69
academic advising,69
electrical system testing,68
community outreach,67
floor preparation techniques,67
conduit installation,67
supply ordering,67
electrical system installation,67
behavioral management,66
client assessment,66
writing skills,65
community engagement,65
mathematical analysis,65
supportive device use,65
client consultation,65
functional activity support,65
staff recruitment,65
mobility assistance,64
stakeholder communication,64
client communication,64
machining,64
problem analysis,63
wire stripping techniques,63
work area cleaning,63
technical support,63
team support,63
surgical procedures,63
landscaping techniques,63
worksite organization,63
compliance management,62
testimony,60
operational integrity,60
disability support,60
hair cleansing techniques,60
strategic thinking,60
attendance management,60
cutting and shaping,59
grant writing,59
food handling,59
form construction,59
caulking and sealing,58
participation encouragement,58
storage and organization,58
evidence handling,58
medical diagnosis,57
fluoride application,57
dental instruments,57
drain maintenance,57
production planning,56
fluid management,55
decorative design,55
cultural competence,55
supervision of nursing personnel,54
interviewing techniques,54
health maintenance guidance,54
crop management,54
customer relations,53
home and work adjustment,53
infection control,53
data collection,53
transportation services,53
storage management,52
technology design,52
financial reporting,52
package delivery,52
cognitive development,52
intervention evaluation,51
mental health assessment,49
administrative tasks,49
discharge planning,49
coating application,49
labor management,49
material analysis,49
data verification,49
strategic planning,49
bonding techniques,48
precision alignment,48
collaboration skills,48
forest management,48
hazardous materials handling,48
client education,47
fastening and securing,47
technical communication,47
meat cutting techniques,47
system design,47
structural framing,46
information retrieval,46
problem resolution,46
cutting and fitting,46
process optimization,46
goal setting,46
chemical handling,45
manual labor,45
behavioral intervention,45
wiring repair techniques,45
scientific knowledge,45
critical decision making,45
medical research,44
regulatory knowledge,44
ingredient measurement,44
protective treatments,44
rinsing and drying,44
workspace organization,44
log grading,43
access control,43
range of motion evaluation,43
wiring installation,43
daily living assistance,43
physical examination techniques,43
public education,43
physical support,43
behavioral observation,43
patient restriction management,43
social activity organization,43
plant care,42
tax law knowledge,42
