skill,weighted_score
time management,124.86382148896939
problem solving,116.96937475922805
communication,108.16128962214279
equipment maintenance,108.10577883227896
operations monitoring,102.96879984721184
inventory management,86.49297782609565
troubleshooting,80.9356484300016
material handling,76.29147223364875
record keeping,70.57206859153928
critical thinking,58.828769491946126
team management,56.500023192493785
financial management,56.0327850058439
customer service,52.68373443223446
installation,48.17398731660508
complex problem solving,45.47391964897858
judgment and decision making,44.66288722062252
laboratory techniques,41.17869114219121
budgeting,40.36855441617214
technical documentation,40.07200000000003
personnel management,35.126331537743354
emergency response,34.96884087481148
staff supervision,34.12992997198878
project management,33.882662905721716
training and development,32.95384239290121
supply chain management,32.43923112834876
precision measurement,32.22792081447968
financial analysis,32.07351587301586
customer education,31.799984126984143
systems analysis,31.08945811051694
sales techniques,28.64207936507935
scheduling,27.86758553864437
data analysis,26.906282051282055
conflict resolution,26.605907327966115
active learning,24.562673796791398
risk management,24.40428571428571
attention to detail,23.32940326340327
marketing strategies,21.2419126984127
lesson planning,20.760000000000012
research methods,20.556206349206324
customer communication,20.308150623885904
cash handling,19.667166666666667
logistics management,19.508667636285278
medication administration,19.021615384615362
adaptability,18.959999999999983
facility maintenance,18.581254147812974
blueprint reading,17.853833333333323
cost estimation,17.740666666666662
data recording,17.661666666666648
client record management,17.422373015873013
data entry,17.25811538461538
negotiation,16.577539682539683
hand tool operation,16.47433333333329
equipment calibration,16.371961538461523
surface preparation,16.288961538461525
learning strategies,16.272666666666648
report writing,15.583333333333336
counseling techniques,15.3285
child development,15.06333333333334
event planning,14.83183333333333
patient care techniques,14.807499999999987
mathematics,14.427787878787873
vital sign monitoring,13.903333333333324
emotional intelligence,13.733333333333343
mathematical calculations,13.626666666666647
accounting,13.459373015873014
parent communication,13.350000000000009
organization,13.339666666666654
teaching techniques,13.024999999999997
clerical duties,12.37999999999999
vehicle operation,12.197500000000003
food preparation,12.169333333333318
classroom management,12.07999999999999
program development,11.361999999999995
technical manual interpretation,11.223666666666658
transportation management,11.08316666666664
welding techniques,11.012121212121198
programming,10.914128205128192
professional development,10.87749999999999
surface finishing,10.783628205128194
security protocols,10.750999999999992
lubrication techniques,10.744044289044275
circuit analysis,10.601999999999983
material preparation,10.52749999999999
patient monitoring,10.382666666666651
drilling techniques,10.350249417249412
patient communication,10.278333333333329
operation and control,10.176336898395691
frame repair,10.142666666666658
incident reporting,10.078333333333324
patient education,10.062499999999993
police procedures,10.02787301587301
exterior panel replacement,9.952666666666659
