cluster_id,canonical_skill
1208,3d modeling
2644,abrasive tool selection
1066,academic advising
1070,academic governance
996,academic planning
1114,academic support
802,academic writing
415,access control
1245,accessibility assistance
2464,accessory installation
1999,account management
2046,account review
2025,account verification
211,accounting
2010,accounting software operation
82,accounting standards
775,accuracy checking
1143,acquisition and display
2745,acrylic paste mixing
1099,acting technique instruction
472,active learning
265,active listening
1269,actor development
1559,acupressure
1555,acupuncture techniques
1111,adaptability
1455,adaptive tool development
2082,address management
2267,adhesion and durability control
2246,adhesion promotion
2186,adhesive application
2694,adjusting machine controls
1650,adjustment
1453,administrative record-keeping
2055,administrative support
1035,administrative tasks
1875,admission verification
1793,adoption facilitation
1132,adult education
713,advanced design software
27,advertising campaign planning
1970,advertising strategy development
564,aerial survey conducting
1417,aesthetic dentistry
1232,aesthetic design
1966,age verification
580,agricultural machinery design
2142,agricultural production
576,agricultural systems design
2569,air bubble removal
2380,air flow system analysis
222,air quality control
2800,air traffic control
2111,airbrushing
2554,aircraft assembly
2434,aircraft maintenance
2795,aircraft stability maintenance
2809,aircrew support
2807,airfield construction planning
2808,airfield operations management
2804,airfield safety procedures
1447,airway management
2849,airworthiness certification
2593,alarm response
625,alarm system design
528,algorithm development
2394,alignment management
1054,allegation assessment
1538,allergy and immunology knowledge
1881,alteration techniques
1482,alternative communication devices
870,alternative energy scenarios
761,alternative energy testing
2803,altitude management
2814,ambulance maintenance
1696,ambulation support
853,analytical chemistry
1092,analytical research
450,analytical skills
889,analytical techniques
1867,analytical thinking
2855,anchor placement
2400,anchoring systems
1401,anesthesia administration
1442,anesthesia delivery system calibration
783,animal breeding
784,animal care
780,animal development
1871,animal health monitoring
2135,animal identification
778,animal nutrition
786,animal product quality
943,animal specimen examination
2132,animal tracking
1868,animal training techniques
1792,animal welfare knowledge
1209,animation techniques
2413,antenna mounting and alignment
924,anthropological theory
2197,appliance removal
2494,appliance repair
2040,application assistance
367,appraisal report writing
543,architectural design
1860,area coverage
1098,art history knowledge
1490,art supply management
2664,article counting
2661,article folding
2659,article identification
2669,article preparation
1154,artifacts preparation
1197,artistic expression
1097,artistic technique demonstration
1390,artistic vision
1684,aseptic maintenance
1598,aseptic techniques
2230,asphalt flow rates
2364,asphalt patching
2311,assembly and installation
2564,assembly and joinery
734,assembly drawings
736,assembly layout
2180,assembly techniques
1463,assessment and planning
396,asset optimization
1796,asset protection
1514,assistive device fitting
1545,assistive device prescription
1653,assistive listening devices
1119,assistive technology
1676,athlete equipment use advice
1283,athlete evaluation
1671,athlete health and wellness
1675,athlete participation clearance
1669,athlete rehabilitation
1673,athlete safety inspection
1275,athletic performance
1674,athletic training room maintenance
139,attendance management
737,attention to detail
1937,audience adaptation
1343,audience analysis
1305,audience engagement
1315,audio control
1377,audio editing
1360,audio equipment setup
1378,audio mixing
1271,audio production
1380,audio quality control
1307,audio recording
1370,audio signal adjustment
1379,audio synchronization
1381,audio troubleshooting
1362,audio video feed management
1365,audio video system design
1367,audio visual materials selection
839,audio-visual design
2431,audiovisual technology
214,auditing
1258,auditioning
1515,auditory training
1151,authentication processes
932,authenticity evaluation
1127,autism support
2484,automated door systems installation
2801,automated system utilization
482,automated testing
687,automation systems development
665,automotive engineering principles
243,automotive repair techniques
663,automotive system analysis
270,autopsy techniques
2850,aviation technology
2416,avionics equipment installation
1794,background investigations
1019,background research
1803,baggage inspection
2578,baking techniques
2366,ballast management
1826,bar management
1446,basic life support
1698,bathing assistance
2583,batter preparation
1616,beam modifying devices
901,behavior modification
1746,behavior monitoring
1626,behavioral influence
999,behavioral intervention
1024,behavioral management
1713,behavioral observation
1028,behavioral strategy development
1027,benefit identification
113,benefits administration
116,benefits research
1093,bibliography compilation
1972,bidding process coordination
2094,billing management
2655,binding techniques
1573,binocular vision techniques
98,biofuels research
536,bioinformatics
539,biological data analysis
1074,biological science knowledge
581,biological systems analysis
2724,biomass feedstock assessment
530,biostatistical consultation
526,biostatistical theory
2110,bitmap editing
2397,blast site preparation
1680,bleeding control
2730,blending processes
1737,blood collection techniques
979,blood stain pattern analysis
1498,blood transfusion techniques
591,blueprint creation
739,blueprint reading
2851,boarding assistance
2833,boat operation techniques
2750,body measurement techniques
2168,boiler operation
2638,bonding techniques
1409,bone and gum tissue regeneration
2042,book maintenance
1643,bookkeeping
554,boundary establishment
1659,brain activity monitoring
1527,brain death determination
2466,brake repair
2449,brake system inspection
1862,branch removal
2170,brick laying techniques
1265,broadcast content development
1371,broadcast equipment operation
1272,broadcast monitoring
1372,broadcast transmission control
833,brush control
370,budget compliance
2,budgeting
478,bug tracking
2349,building envelope inspection
362,building regulations
2344,building system evaluation
2878,bulk material handling
207,burial and cremation scheduling
337,business continuity planning
1065,business education
338,business impact analysis
531,business intelligence
1494,business management
345,business planning
466,business rule implementation
2692,buttonhole creation
2810,cabin management
2560,cable and wiring connection
2415,cable installation
2498,cable laying
2334,cable management
2504,cable pulling
2496,cable splicing
2505,cable stringing
2071,call recording and documentation
2510,camera disassembly
1383,camera operation
2507,camera repair techniques
30,campaign team management
1756,campsite inspection
435,capacity planning
1448,cardiopulmonary resuscitation
1603,cardiovascular system knowledge
143,career counseling
126,career development
1067,career guidance
1788,cargo examination
2846,cargo inspection techniques
287,cargo insurance
2057,cargo management
2794,cargo weight and balance calculation
2188,carpet padding installation
1844,cart management
551,cartography
1042,case analysis
2090,case file management
902,case management
1965,cash drawer balancing
77,cash handling
2395,casing insertion
1893,casket arrangement
1268,casting
1150,cataloging systems
2383,caulking and glazing
2326,caulking and sealing
2273,ceiling and wall treatment
808,cell culture techniques
1581,cell staining techniques
1592,cellular analysis
805,cellular biology
1578,cellular component identification
2196,cement removal
2247,cementing material application
1897,ceremonial protocol
10,change management
490,character development
1255,character interpretation
1905,character research
1347,characterization
2011,check processing
585,chemical analysis
1848,chemical application
789,chemical composition
1837,chemical handling
619,chemical knowledge
2767,chemical measurement
1859,chemical mixing
1808,chemical swab systems
803,chemical synthesis
904,child development
1949,child safety
1687,childbirth assistance
135,childcare program development
1262,choreography
854,chromatography techniques
1584,chromosome analysis
1590,chromosome banding
1587,chromosome imaging
741,circuit analysis
733,circuit board layouts
2500,circuit breaker installation
1162,circulation management
1890,circulatory system management
729,civil engineering
256,civil rights law interpretation
2115,claim processing
237,claim settlement
1977,claims handling
2742,clarity analysis
1141,classification systems
502,classification taxonomies
1094,classroom discussion facilitation
1068,classroom management
1179,classroom preparation
2785,clay manipulation
2657,cleaning agent regulation
1230,cleaning and organization
1716,clerical duties
394,client advice
995,client advocacy
233,client assessment
175,client communication
152,client consultation
1489,client data analysis
384,client education
1456,client empowerment
210,client record management
1969,client relationship management
225,client representation
1016,client support
851,climate analysis
863,climate change mitigation
862,climate change research
680,climate control systems
1865,climbing gear usage
181,clinical data analysis
1504,clinical decision making
1511,clinical guidelines establishment
1606,clinical judgment
1575,clinical method training
1679,clinical operations management
1662,clinical photography
187,clinical study coordination
185,clinical trial management
1280,coaching techniques
1645,coating application
2660,code marking
1177,cognitive development
909,cognitive function assessment
328,collaboration skills
316,collaboration with external providers
2106,collation and binding
1148,collection management
297,collective bargaining
2711,color and texture selection
2265,color consistency control
1238,color coordination
2108,color management
1210,color manipulation
1249,color scheme selection
2114,color separation
1198,color theory
2381,combustion air management
1614,comforting patients
1936,commentary development
147,committee work
4,communication
172,communication planning
2829,communication protocols
442,communication systems configuration
2409,communication systems installation
2064,communication systems management
921,community development
925,community engagement
1548,community health improvement
1476,community integration
1008,community liaison
48,community outreach
204,community relations
1025,community resource navigation
2228,compact earth fills
2370,compaction techniques
1701,companionship
359,comparable property analysis
479,compatibility testing
123,compensation analysis
1051,compensation awarding
114,compensation planning
324,competitor analysis
257,complaint investigation
106,complex analysis
610,complex calculations
96,complex problem solving
1441,complex procedure assistance
664,complex systems design
184,compliance management
1537,complication management
2463,component adjustment
613,component design
2681,component measurement
2559,component part identification
2562,component positioning
2558,component removal
2422,component replacement
2563,component verification
2437,composite material restoration
1384,composition skills
2130,composition standards
2217,compound application
1495,comprehensive care planning
1535,comprehensive reporting
537,computational biology
848,computational skills
517,computational techniques
522,computational tools
1211,computer animation
2453,computer controlled exhaust emissions repair
557,computer graphics expertise
422,computer hardware design
590,computer modeling
72,computer resource development
473,computer science
1233,computer software proficiency
542,computer-aided design
730,computer-assisted drafting
