soc,skills_list,skill_text,cluster_id,canonical_skill
Chief Executives,"[""Financial Analysis""",financial analysis,0,financial analysis
Chief Executives," ""Policy Formulation""",policy formulation,1,policy development
Chief Executives," ""Budget Planning""",budget planning,2,budgeting
Chief Executives," ""Leadership""",leadership,3,team management
Chief Executives," ""Communication""",communication,4,communication
Chief Executives," ""Problem Solving""",problem solving,5,problem solving
Chief Executives," ""Strategic Planning""",strategic planning,6,strategic planning
Chief Executives," ""Resource Allocation""",resource allocation,7,time management
Chief Executives," ""Team Management""",team management,3,team management
Chief Executives," ""Decision Making""",decision making,8,decision making
Chief Executives," ""Risk Management""",risk management,9,risk management
Chief Executives," ""Change Management""]",change management,10,change management
Chief Sustainability Officers,"[""Environmental policy development""",environmental policy development,11,environmental policy development
Chief Sustainability Officers," ""Sustainability strategy execution""",sustainability strategy execution,12,sustainability strategy execution
Chief Sustainability Officers," ""Program evaluation""",program evaluation,13,program evaluation
Chief Sustainability Officers," ""Risk assessment""",risk assessment,9,risk management
Chief Sustainability Officers," ""Stakeholder communication""",stakeholder communication,14,stakeholder communication
Chief Sustainability Officers," ""Project management""",project management,15,project management
Chief Sustainability Officers," ""Budget management""",budget management,2,budgeting
Chief Sustainability Officers," ""Sustainability reporting""",sustainability reporting,16,environmental reporting
Chief Sustainability Officers," ""Marketing strategy development""",marketing strategy development,17,marketing strategies
Chief Sustainability Officers," ""Research analysis""",research analysis,18,research methods
Chief Sustainability Officers," ""Regulatory compliance""",regulatory compliance,19,equipment maintenance
Chief Sustainability Officers," ""Grant writing""",grant writing,20,grant writing
Chief Sustainability Officers," ""Training program development""]",training program development,21,training and development
General and Operations Managers,"[""Financial Analysis""",financial analysis,0,financial analysis
General and Operations Managers," ""Operations Management""",operations management,19,equipment maintenance
General and Operations Managers," ""Policy Development""",policy development,1,policy development
General and Operations Managers," ""Goal Setting""",goal setting,22,goal setting
General and Operations Managers," ""Budget Management""",budget management,2,budgeting
General and Operations Managers," ""Resource Allocation""",resource allocation,7,time management
General and Operations Managers," ""Performance Monitoring""",performance monitoring,23,operations monitoring
General and Operations Managers," ""Quality Control""",quality control,19,equipment maintenance
General and Operations Managers," ""Time Management""",time management,7,time management
General and Operations Managers," ""Financial Planning""",financial planning,24,financial management
General and Operations Managers," ""Human Resource Management""",human resource management,25,personnel management
General and Operations Managers," ""Supply Chain Management""]",supply chain management,26,supply chain management
Advertising and Promotions Managers,"[""Marketing strategy development""",marketing strategy development,17,marketing strategies
Advertising and Promotions Managers," ""Advertising campaign planning""",advertising campaign planning,27,advertising campaign planning
Advertising and Promotions Managers," ""Promotional material creation""",promotional material creation,17,marketing strategies
Advertising and Promotions Managers," ""Budget management""",budget management,2,budgeting
Advertising and Promotions Managers," ""Media selection""",media selection,28,media selection
Advertising and Promotions Managers," ""Promotional content creation""",promotional content creation,17,marketing strategies
Advertising and Promotions Managers," ""Industry trend analysis""",industry trend analysis,29,market research
Advertising and Promotions Managers," ""Stakeholder communication""",stakeholder communication,14,stakeholder communication
Advertising and Promotions Managers," ""Campaign team management""",campaign team management,30,campaign team management
Advertising and Promotions Managers," ""Sales promotion analysis""",sales promotion analysis,31,sales techniques
Advertising and Promotions Managers," ""Program evaluation""",program evaluation,13,program evaluation
Advertising and Promotions Managers," ""Media coordination""]",media coordination,32,media coordination
Marketing Managers,"[""Market Analysis""",market analysis,29,market research
Marketing Managers," ""Product Development""",product development,33,product development
Marketing Managers," ""Pricing Strategies""",pricing strategies,34,pricing strategies
Marketing Managers," ""Financial Evaluation""",financial evaluation,35,economic evaluation
Marketing Managers," ""Marketing Planning""",marketing planning,17,marketing strategies
Marketing Managers," ""Team Management""",team management,3,team management
Marketing Managers," ""Customer Education""",customer education,36,customer education
Marketing Managers," ""Product Specifications""",product specifications,37,design specifications
Marketing Managers," ""Distribution Management""",distribution management,38,distribution planning
Marketing Managers," ""Market Research""",market research,29,market research
Marketing Managers," ""Contract Negotiation""",contract negotiation,39,negotiation
Marketing Managers," ""Sales Forecasting""",sales forecasting,40,sales forecasting
Marketing Managers," ""Strategic Planning""]",strategic planning,6,strategic planning
Sales Managers,"[""Financial Analysis""",financial analysis,0,financial analysis
Sales Managers," ""Customer Education""",customer education,36,customer education
Sales Managers," ""Inventory Management""",inventory management,41,inventory management
Sales Managers," ""Sales Forecasting""",sales forecasting,40,sales forecasting
Sales Managers," ""Pricing Strategies""",pricing strategies,34,pricing strategies
Sales Managers," ""Budgeting""",budgeting,2,budgeting
Sales Managers," ""Performance Evaluation""",performance evaluation,23,operations monitoring
Sales Managers," ""Staff Training""",staff training,42,staff supervision
Sales Managers," ""Sales Territory Management""",sales territory management,43,sales territory management
Sales Managers," ""Market Research""",market research,29,market research
Sales Managers," ""Operations Management""",operations management,19,equipment maintenance
Sales Managers," ""Customer Service""",customer service,44,customer service
Sales Managers," ""Team Management""]",team management,3,team management
Fundraising Managers,"[""Financial Analysis""",financial analysis,0,financial analysis
Fundraising Managers," ""Donor Relationship Management""",donor relationship management,45,donor relationship building
Fundraising Managers," ""Fundraising Strategy Development""",fundraising strategy development,46,fundraising strategies
Fundraising Managers," ""Event Planning""",event planning,47,event planning
